Region	River	Month	Total	Beached	Percentage	Treal	Tmove
Wakatobi	R9	Feb12	99	19	19.19	778	5180
Wakatobi	R9	Feb13	442	70	15.84	3696	29621
Wakatobi	R9	Jan12	634	348	54.89	8449	15160
Wakatobi	R9	Jan13	165	60	36.36	3225	9476
Wakatobi	R9	Jan16	1121	720	64.23	31494	29953
Misool	R12	Dec12	147	8	5.44	353	6215
Misool	R13	Feb13	5	3	60	52	149
Misool	R13	Jan13	26	1	3.85	31	1031
Misool	R16	Dec12	659	57	8.65	2081	29720
Misool	R16	Feb13	53	16	30.19	506	2998
Misool	R16	Feb16	5	1	20	20	97
Misool	R16	Jan13	146	11	7.53	324	5947
Misool	R17	Jan13	30	2	6.67	128	3018
Misool	R1	Dec11	62	2	3.23	27	1888
Misool	R1	Dec12	4553	297	6.52	8649	226834
Misool	R1	Feb13	419	120	28.64	3120	26391
Misool	R1	Feb16	53	4	7.55	63	1927
Misool	R1	Jan13	2023	129	6.38	3370	87809
Misool	R1	Jan16	902	2	0.22	258	49774
Misool	R24	Feb13	3	1	33.33	10	135
Misool	R29	Jan13	62	5	8.06	85	2554
Misool	R2	Dec12	342	21	6.14	570	18592
Misool	R2	Feb13	11	5	45.45	208	423
Misool	R2	Jan13	88	3	3.41	107	4020
Misool	R3	Feb13	6	1	16.67	14	252
Misool	R3	Jan13	12	1	8.33	3	551
Misool	R4	Dec12	1	1	100	5	0
Misool	R4	Jan13	48	1	2.08	4	2267
Misool	R5	Dec12	174	36	20.69	1773	14757
Misool	R6	Dec12	562	46	8.19	1772	26591
Misool	R6	Jan13	149	8	5.37	79	7621
Misool	R7	Feb13	1	1	100	25	0
Misool	R7	Jan13	8	2	25	49	207
Misool	R8	Dec12	738	47	6.37	1287	30710
Misool	R8	Feb13	27	14	51.85	320	889
Misool	R8	Jan13	387	20	5.17	333	17587
Misool	R8	Jan16	51	1	1.96	1	1873
Misool	R9	Feb13	2	1	50	15	38
Misool	R9	Jan13	48	3	6.25	87	2126
